# n, config_file, trace_file, graph_file, save_dir, Sample Rate (kS/s), Duration (ms), Trigger Channel, Trigger Level (V), Trigger Edge, channels
# 9, Z:/Tweezer/Code/Python 3.5/PyDex/monitor/dqconfig 01.07.2020.dat, DAQtrace.csv, 121MHz.csv, Z:\Tweezer\Code\Python 3.5\PyDex\monitor\AWG_power_calibration, 20.0, 200.0, /Dev2/PFI0, 1.0, rising, [[Dev2/ai1, 940 tweezer, 1.0, 0.0, 5.0, 1, 1]]
# name, start index, end index, [channels]; ...
# Slice0, 200, 3799, ['Dev2/ai1']
# Run, Slice0//Dev2/ai1 mean, Slice0//Dev2/ai1 stdv
35.0,0.02265887050813671,0.0004160442628860795
134.0,0.271292047472796,0.0005140982200079561
21.0,0.008974815962631085,0.00041215214975198793
40.0,0.027725325218011493,0.00042104365730077876
214.0,0.5098189918223728,0.0009650811858219141
46.0,0.03666671666872135,0.0004393490061445826
140.0,0.29477475543078213,0.000520180986140113
118.0,0.2172183068827574,0.00043088481324728644
27.0,0.014067514114630792,0.00040679392892094577
17.0,0.006204300024814937,0.0004186901611083207
136.0,0.276723763235212,0.0005722113853912653
79.0,0.10155546037312352,0.00041747122880814153
9.0,0.002662436098829023,0.00040244612399802646
